,author
593,Milton Hatoum
594,María Gainza 
595,texto e il. Beatrix Potter 
596,texto e il. de Pei-Yu Chang 
597,Slawomir Mrozek 
598,J. Rentes de Carvalho
599,"org., introd., notas Maria Vitalina Leal de Matos"
600,Sérgio Godinho
601,Gonzalo Torrente Ballester 
602,Luigi Pirandello 
603,Joseph Joffo 
604,Roberto Bolaño 
605,H.G. Wells 
606,Herman Melville 
607,Jorge Amado e José Saramago 
608,Arturo Pérez-Reverte 
609,Miguel Tamen
610,Rainer Maria Rilke 
611,José Luandino Vieira 
612,Kapaf Epalanga
613,Ana Isabel Vasconcelos
614,Fernão Lopes 
615,texto Rob lloyd Jones 
616,Nils Uddenberg 
617,Mariana Enriquez 
618,Padre António Vieira 
619,Sónia Serrano
620,Rui Pina Coelho
621,Juliet Marillier 
622,coord. geral Helena Carvalhão Buescu
623,Lucy & Stephen Hawking 
624, Walter Scott 
625,Rubem Fonseca 
626,ed. crít. Luiz Fagundes Duarte
627,António Lobo Antunes 
628,Eric Knight 
629,Elena Ferrante 
630,Mário de Carvalho 
631,F. Scott Fitzgerald 
632,Carlos Ruiz Zafón 
633,planeada por Fernando Passoa 
634,Pepetela 
635,Mario Vargas Llosa 
636,[E. M. Forster... et al.]
637,Jean-Paul Sartre 
638,textos e des. Fábio Celoni 
639,Manuel Vilas 
640,Jacques Ferrandez 
641,Carry Ulreich 
642,Rui Lage
643,"texto, il. e narração Rodolfo Castro... [et al.] "
644,João de Melo
645,Dulce Maria Cardoso
646,Adolfo Caminha 
647,Tiago Ferro
648,Jarett Kobek 
649,Sinclair Lewis 
650,W. Somerset Maugham 
651,Vitorino Nemésio 
652,Camilo José Cela 
653,Javier Marías 
654,Marcel Proust 
655,Yu Hua 
656,Daniel Mendelsohn 
657,Ray Bradbury 
658,Marguerite Yourcenar 
659,Eva Schloss com Karen Bartlett 
660,Germano Almeida 
661,Elizabeth Wein 
662,Shusaku Endo 
663,Alexandre Dumas
664,Paulo Varela Gomes
665,Umberto Eco 
666,Nikolai Gógol
667,Nikolai Tchernichévski 
668,Lev Tolstói 
669,Guy de Maupassant 
670,Stephen King 
671,Edmondo De Amicis 
672,George e Weedon Grossmith 
673,Boileau-Narcejac 
674,Isabel Lucas
675,Joseph Roth 
676,August Strindberg 
677,Maria Judite de Carvalho 
678,Ana Paula Miranda 
679,Anton Tchékhov 
680,Djaimilia Pereira de Almeida
681,Sally Rooney 
682,Agustina Bessa Luís 
683,Honoré de Balzac 
684,Isaac Asimov 
685,Han Kang 
686,Susan Sontag 
687,Natalia Ginzburg 
688,David Grossman 
689,por Rider Haggard 
690,Miguel Real
691,Stefan Hertmans 
692,José Eduardo Agualusa e Mia Couto
693,Patti Smith 
694,Paulo José Miranda 
695,Jaime Rocha
696,Ana Margarida de Carvalho... [et al.]
697,Gonçalo M. Tavares
698,Francisco José Viegas
699,Itamar Vieira Junior
700,João Guimarães Rosa
701,Chico Buarque
702,Donald Ray Pollock 
703,Thomas Mann
704,António Carlos Cortez
705,Robin Benway 
706,Mohsin Hamid 
707,Anna Burns 
708,A. S. Byatt 
709,Ian McEwan 
710,Margaret Drabble 
711,Thomas Hardy 
712,Anne Brontë 
713,Virgínia Woolf 
714,Jonathan Coe 
715,Peter Carey 
716,Philippe Claudel 
717,Erich Maria Remarque 
718,Thomas More 
719,Ralf Rothmann 
720,Jacinta Maria Matos
721,Karina Sainz Borgo 
722,Dasa Drndic 
723,Michael Ondaatje 
724,Germano Almeida
725,Geovani Martins
726,Jay Parini 
727,Ismail Kadaré 
728,Miguel Franco
729,Luize Valente 
730,John SteinbecK 
731,Milan Kundera 
732,Olivier Rolin 
733,Magda Szabó 
734,Boris Pasternak 
735,Kazuo Ishiguro 
736,Elif Shafak 
737,Willa Cather 
738,João de Araújo Correia
739,Ernesto Rodrigues
740,Joana Bértholo
741,Paolo Cognetti 
742,Éric Vuillard 
743,Isabel Rio Novo
744,Clara Macedo Cabral
745,Hugo Mezena
746,Karla Suárez 
747,João Paulo Borges Coelho
748,Beatriz Sarlo 
749,Olinda Beja
750,Laurent Binet 
751,Anatole France 
752,Colson Whitehead 
753,Selva Almada 
754,Natália Constâncio 
755,José Luís Peixoto
756,Luis Landero 
757,José Carlos Seabra Pereira 
758,Simon Stranger 
759,Mai Jia 
760,arte e adap. Renée Nault 
761,Yrsa Sigurbardóttir 
762,Rosa Montero 
763,Juan Gabriel Vásquez 
764,Pablo d'Ors 
765,Norberto Morais
766,Voltaire 
767,Jean-Pierre Sarrazac 
768,Romain Gary 
769,Richard Ford 
770,Sérgio Sant'Anna 
771,Fiodor Dostoievski 
772,David Mamet 
773,Kate Quinn 
774,Sayaka Murata 
775,Tom Malmquist 
776,Maja Lunde 
777,Emilio Van der Zuiden 
778,N. K. Jemisin 
779,Paulo M. Morais
780,Ana Cristina Silva
781,Hugo Gonçalves
782,Pedro Vieira
783,Ferreira de Castro
784,Sandra Catarino
785,argumento Benjamin von Eckartsberg 
786,Pepetela
787,Tina Vallès 
788,Claudia Piñeiro 
789,Anna Giurickovic Dato 
790,Dolores Redondo 
791,Patrick White 
792,Ivan Gontcharov 
793,Vanessa Springora 
794,D. H. Machado 
795,Margaret Mitchell 
796,Hilary Mantel
797,Elizabeth Taylor 
798,Peter Handke 
799,T. E. Lawrence 
800,Fiódor Dostoiewski 
801,adapt. Fido Nesti 
802,G. K. Chesterton 
803,Teolinda Gersão
804,"org., introd, notas Hugo Pinto Santos"
805,Helder Moura Pereira
806,Paulo da Costa Domingos
807,"ed. Jerónimo Pizarro, António Cardiello "
808,Fernanda Botelho
809,Henrique Manuel Bento Fialho
810,Orhan Pamuk 
811,George Orwell 
812,Joël Dicker 
813,António Mega Ferreira
814,Patricia Highsmith 
815,Fialho de Almeida
816,Mário Cesariny 
817,Ruben A.
818,Edna O'Brien 
819,Frederico Lourenço
820,Christophe Chabouté 
821,Vergílio 
822,Ruben A
823,Margaret Atwood
824,"sel., introd. notas Carina Infante do Carmo"
825,Victor Serge 
826,Roberto Arlt 
827,Yasunari Kawabata 
828,Valter Hugo Mãe
829,Hans Herbert Grimm 
830,Hiro Arikawa 
831,João Reis
832,Val Emmich 
833,Reinaldo Ferreira
834,David Machado
835,Cláudia Branco 
836,Júlio Cortázar 
837,Joana Estrela
838,Sophia de Mello Breyner Andersen 
839,trad. Vasco Graça Moura
840,Jorge Luis Borges com Margarita Guerrero 
841,Pierre Loti 
